gene_ids,feature_id,feature_types,genome,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells,feature_name
ENSG00000160087,ENSG00000160087,Gene Expression,GRCh38,1449,0.5910405,0.4643882,58.12138728323699,2045.0,7.623642,1449,UBE2J2
ENSG00000162572,ENSG00000162572,Gene Expression,GRCh38,300,0.08930636,0.08554113,91.32947976878613,309.0,5.7365723,300,SCNN1D
ENSG00000131584,ENSG00000131584,Gene Expression,GRCh38,1464,0.5736994,0.45342916,57.6878612716763,1985.0,7.593878,1464,ACAP3
ENSG00000169972,ENSG00000169972,Gene Expression,GRCh38,576,0.18786128,0.17215444,83.35260115606935,650.0,6.4785094,576,PUSL1
ENSG00000127054,ENSG00000127054,Gene Expression,GRCh38,2647,1.7173411,0.9996538,23.49710982658959,5942.0,8.689969,2647,INTS11
ENSG00000224051,ENSG00000224051,Gene Expression,GRCh38,918,0.32398844,0.2806487,73.46820809248555,1121.0,7.022868,918,CPTP
ENSG00000107404,ENSG00000107404,Gene Expression,GRCh38,1242,0.48439306,0.39500597,64.10404624277457,1676.0,7.424762,1242,DVL1
ENSG00000162576,ENSG00000162576,Gene Expression,GRCh38,2618,1.5520232,0.9368864,24.33526011560694,5370.0,8.588769,2618,MXRA8
ENSG00000175756,ENSG00000175756,Gene Expression,GRCh38,2755,1.9638728,1.0864968,20.3757225433526,6795.0,8.824089,2755,AURKAIP1
ENSG00000221978,ENSG00000221978,Gene Expression,GRCh38,3204,3.6893063,1.5452846,7.3988439306358345,12765.0,9.45454,3204,CCNL2
ENSG00000235098,ENSG00000235098,Gene Expression,GRCh38,338,0.10722543,0.101857275,90.23121387283237,371.0,5.918894,338,ANKRD65
ENSG00000179403,ENSG00000179403,Gene Expression,GRCh38,3286,3.9063585,1.5905321,5.028901734104041,13516.0,9.5117035,3286,VWA1
ENSG00000215915,ENSG00000215915,Gene Expression,GRCh38,290,0.09075145,0.086866856,91.61849710982659,314.0,5.7525725,290,ATAD3C
ENSG00000205090,ENSG00000205090,Gene Expression,GRCh38,692,0.2251445,0.20305881,80.0,779.0,6.659294,692,TMEM240
ENSG00000160075,ENSG00000160075,Gene Expression,GRCh38,2660,1.8546243,1.0489402,23.121387283236995,6417.0,8.766862,2660,SSU72
ENSG00000197530,ENSG00000197530,Gene Expression,GRCh38,1880,0.8658959,0.6237413,45.66473988439307,2996.0,8.005367,1880,MIB2
ENSG00000189409,ENSG00000189409,Gene Expression,GRCh38,445,0.13959537,0.13067326,87.13872832369943,483.0,6.182085,445,MMP23B
ENSG00000248333,ENSG00000248333,Gene Expression,GRCh38,1298,0.51127166,0.41295147,62.48554913294797,1769.0,7.478735,1298,CDK11B
ENSG00000189339,ENSG00000189339,Gene Expression,GRCh38,1567,0.67052025,0.5131351,54.71098265895954,2320.0,7.7497535,1567,SLC35E2B
ENSG00000215790,ENSG00000215790,Gene Expression,GRCh38,1201,0.4632948,0.3806906,65.28901734104046,1603.0,7.3802557,1201,SLC35E2A
ENSG00000008130,ENSG00000008130,Gene Expression,GRCh38,1153,0.43092486,0.35832098,66.67630057803468,1491.0,7.307873,1153,NADK
ENSG00000078369,ENSG00000078369,Gene Expression,GRCh38,3297,4.671387,1.7354338,4.710982658959539,16163.0,9.690542,3297,GNB1
ENSG00000169885,ENSG00000169885,Gene Expression,GRCh38,126,0.03815029,0.03744056,96.35838150289018,132.0,4.890349,126,CALML6
ENSG00000178821,ENSG00000178821,Gene Expression,GRCh38,71,0.021098265,0.020878779,97.94797687861272,73.0,4.304065,71,TMEM52
ENSG00000067606,ENSG00000067606,Gene Expression,GRCh38,1045,0.43410406,0.3605403,69.79768786127167,1502.0,7.3152184,1045,PRKCZ
ENSG00000162585,ENSG00000162585,Gene Expression,GRCh38,1067,0.38294798,0.32421744,69.16184971098266,1325.0,7.1899223,1067,FAAP20
ENSG00000157933,ENSG00000157933,Gene Expression,GRCh38,2188,1.1054913,0.7445488,36.76300578034682,3825.0,8.249576,2188,SKI
ENSG00000116151,ENSG00000116151,Gene Expression,GRCh38,1150,0.44508672,0.36816934,66.76300578034682,1540.0,7.340187,1150,MORN1
ENSG00000157916,ENSG00000157916,Gene Expression,GRCh38,2764,2.3401735,1.2060227,20.115606936416185,8097.0,8.9993725,2764,RER1
ENSG00000157911,ENSG00000157911,Gene Expression,GRCh38,488,0.15606937,0.14502577,85.89595375722543,540.0,6.2934194,488,PEX10
ENSG00000149527,ENSG00000149527,Gene Expression,GRCh38,1007,0.41849712,0.34959793,70.89595375722544,1448.0,7.278629,1007,PLCH2
ENSG00000157881,ENSG00000157881,Gene Expression,GRCh38,1031,0.37283236,0.31687602,70.20231213872832,1290.0,7.1631722,1031,PANK4
ENSG00000157873,ENSG00000157873,Gene Expression,GRCh38,1148,0.4265896,0.35528672,66.82080924855491,1476.0,7.297768,1148,TNFRSF14
ENSG00000157870,ENSG00000157870,Gene Expression,GRCh38,760,0.26473987,0.23486647,78.03468208092485,916.0,6.8211074,760,PRXL2B
ENSG00000130762,ENSG00000130762,Gene Expression,GRCh38,555,0.18815029,0.17239772,83.95953757225433,651.0,6.4800444,555,ARHGEF16
ENSG00000162591,ENSG00000162591,Gene Expression,GRCh38,1580,0.71763,0.5409455,54.33526011560694,2483.0,7.8176255,1580,MEGF6
ENSG00000158109,ENSG00000158109,Gene Expression,GRCh38,1985,0.8916185,0.6374328,42.63005780346821,3085.0,8.034631,1985,TPRG1L
ENSG00000116213,ENSG00000116213,Gene Expression,GRCh38,943,0.3199422,0.27758795,72.7456647398844,1107.0,7.010312,943,WRAP73
ENSG00000078900,ENSG00000078900,Gene Expression,GRCh38,206,0.06416185,0.062187497,94.04624277456648,222.0,5.4071717,206,TP73
ENSG00000235169,ENSG00000235169,Gene Expression,GRCh38,558,0.18121387,0.16654262,83.8728323699422,627.0,6.44254,558,SMIM1
ENSG00000130764,ENSG00000130764,Gene Expression,GRCh38,2195,1.116763,0.74988806,36.5606936416185,3864.0,8.259717,2195,LRRC47
ENSG00000116198,ENSG00000116198,Gene Expression,GRCh38,1099,0.4063584,0.34100366,68.23699421965318,1406.0,7.249215,1099,CEP104
ENSG00000169598,ENSG00000169598,Gene Expression,GRCh38,408,0.13034682,0.12252451,88.20809248554913,451.0,6.1136823,408,DFFB
ENSG00000198912,ENSG00000198912,Gene Expression,GRCh38,1270,0.4982659,0.40430838,63.29479768786127,1724.0,7.4529824,1270,C1orf174
ENSG00000196581,ENSG00000196581,Gene Expression,GRCh38,251,0.078612715,0.07567569,92.74566473988439,272.0,5.609472,251,AJAP1
ENSG00000131697,ENSG00000131697,Gene Expression,GRCh38,729,0.24219653,0.21688122,78.93063583815028,838.0,6.7322106,729,NPHP4
ENSG00000069424,ENSG00000069424,Gene Expression,GRCh38,498,0.15924856,0.147772,85.60693641618498,551.0,6.313548,498,KCNAB2
ENSG00000116254,ENSG00000116254,Gene Expression,GRCh38,138,0.041907515,0.041053183,96.01156069364161,145.0,4.983607,138,CHD5
ENSG00000158286,ENSG00000158286,Gene Expression,GRCh38,940,0.3349711,0.28890964,72.83236994219652,1159.0,7.056175,940,RNF207
ENSG00000116237,ENSG00000116237,Gene Expression,GRCh38,1935,0.8867052,0.634832,44.07514450867052,3068.0,8.029107,1935,ICMT
ENSG00000158292,ENSG00000158292,Gene Expression,GRCh38,751,0.25086704,0.22383694,78.29479768786128,868.0,6.767343,751,GPR153
ENSG00000097021,ENSG00000097021,Gene Expression,GRCh38,1162,0.41705203,0.3485787,66.41618497109828,1443.0,7.275172,1162,ACOT7
ENSG00000069812,ENSG00000069812,Gene Expression,GRCh38,144,0.045086704,0.044099852,95.83815028901735,156.0,5.056246,144,HES2
ENSG00000187017,ENSG00000187017,Gene Expression,GRCh38,204,0.05982659,0.0581053,94.10404624277456,207.0,5.3375382,204,ESPN
ENSG00000215788,ENSG00000215788,Gene Expression,GRCh38,630,0.20982659,0.19047703,81.79190751445087,726.0,6.5889263,630,TNFRSF25
ENSG00000171680,ENSG00000171680,Gene Expression,GRCh38,900,0.31387284,0.27297914,73.98843930635839,1086.0,6.991177,900,PLEKHG5
ENSG00000162408,ENSG00000162408,Gene Expression,GRCh38,1348,0.5199422,0.41867232,61.04046242774566,1799.0,7.495542,1348,NOL9
ENSG00000204859,ENSG00000204859,Gene Expression,GRCh38,1134,0.42890173,0.35690612,67.22543352601156,1484.0,7.30317,1134,ZBTB48
ENSG00000162413,ENSG00000162413,Gene Expression,GRCh38,1750,0.76271677,0.56685627,49.42196531791907,2639.0,7.8785343,1750,KLHL21
ENSG00000116273,ENSG00000116273,Gene Expression,GRCh38,987,0.34739885,0.29817596,71.47398843930635,1202.0,7.0925736,987,PHF13
ENSG00000041988,ENSG00000041988,Gene Expression,GRCh38,827,0.28872833,0.25365594,76.09826589595376,999.0,6.9077554,827,THAP3
ENSG00000007923,ENSG00000007923,Gene Expression,GRCh38,618,0.19855492,0.1811166,82.13872832369941,687.0,6.5337887,618,DNAJC11
ENSG00000171735,ENSG00000171735,Gene Expression,GRCh38,1757,0.79277456,0.58376443,49.21965317919075,2743.0,7.917172,1757,CAMTA1
ENSG00000049245,ENSG00000049245,Gene Expression,GRCh38,2395,1.3303468,0.8460171,30.780346820809246,4603.0,8.434681,2395,VAMP3
ENSG00000049246,ENSG00000049246,Gene Expression,GRCh38,1527,0.59682083,0.46801466,55.86705202312139,2065.0,7.6333694,1527,PER3
ENSG00000116288,ENSG00000116288,Gene Expression,GRCh38,3351,5.830636,1.9214178,3.150289017341046,20174.0,9.912199,3351,PARK7
ENSG00000116285,ENSG00000116285,Gene Expression,GRCh38,2402,1.9297688,1.0749235,30.578034682080922,6677.0,8.806574,2402,ERRFI1
ENSG00000162426,ENSG00000162426,Gene Expression,GRCh38,192,0.056647398,0.055101063,94.45086705202313,196.0,5.2832036,192,SLC45A1
ENSG00000142599,ENSG00000142599,Gene Expression,GRCh38,3278,4.355202,1.6780684,5.260115606936411,15069.0,9.620461,3278,RERE
ENSG00000074800,ENSG00000074800,Gene Expression,GRCh38,3064,2.8575144,1.350023,11.445086705202312,9887.0,9.199078,3064,ENO1
ENSG00000142583,ENSG00000142583,Gene Expression,GRCh38,969,0.43150288,0.35872486,71.99421965317919,1493.0,7.309212,969,SLC2A5
ENSG00000180758,ENSG00000180758,Gene Expression,GRCh38,471,0.1566474,0.14552565,86.38728323699422,542.0,6.297109,471,GPR157
ENSG00000049239,ENSG00000049239,Gene Expression,GRCh38,1557,0.6517341,0.5018257,55.00000000000001,2255.0,7.721349,1557,H6PD
ENSG00000171621,ENSG00000171621,Gene Expression,GRCh38,2074,1.0234104,0.70478445,40.0578034682081,3541.0,8.172447,2074,SPSB1
ENSG00000171612,ENSG00000171612,Gene Expression,GRCh38,122,0.036416184,0.035768785,96.47398843930635,126.0,4.8441873,122,SLC25A33
ENSG00000188807,ENSG00000188807,Gene Expression,GRCh38,523,0.16589595,0.15348986,84.88439306358381,574.0,6.35437,523,TMEM201
ENSG00000171608,ENSG00000171608,Gene Expression,GRCh38,416,0.12976879,0.122013,87.97687861271677,449.0,6.1092477,416,PIK3CD
ENSG00000171603,ENSG00000171603,Gene Expression,GRCh38,2927,2.8410404,1.3457433,15.404624277456646,9830.0,9.1932955,2927,CLSTN1
ENSG00000178585,ENSG00000178585,Gene Expression,GRCh38,2198,1.3598266,0.8585881,36.47398843930636,4705.0,8.4565935,2198,CTNNBIP1
ENSG00000162441,ENSG00000162441,Gene Expression,GRCh38,2649,1.7708093,1.0191394,23.439306358381508,6127.0,8.720624,2649,LZIC
ENSG00000173614,ENSG00000173614,Gene Expression,GRCh38,524,0.17052023,0.15744829,84.85549132947978,590.0,6.381816,524,NMNAT1
ENSG00000162444,ENSG00000162444,Gene Expression,GRCh38,698,0.27225435,0.2407904,79.82658959537572,942.0,6.8490663,698,RBP7
ENSG00000130939,ENSG00000130939,Gene Expression,GRCh38,1985,0.9479769,0.6667913,42.63005780346821,3280.0,8.095903,1985,UBE4B
ENSG00000054523,ENSG00000054523,Gene Expression,GRCh38,2568,1.5858382,0.9500497,25.780346820809253,5487.0,8.610319,2568,KIF1B
ENSG00000142657,ENSG00000142657,Gene Expression,GRCh38,2242,1.3505781,0.8546613,35.20231213872832,4673.0,8.449771,2242,PGD
ENSG00000175279,ENSG00000175279,Gene Expression,GRCh38,944,0.35520232,0.30395076,72.71676300578035,1229.0,7.1147695,944,CENPS
ENSG00000241563,ENSG00000241563,Gene Expression,GRCh38,105,0.031213872,0.030736625,96.96531791907515,108.0,4.691348,105,CORT
ENSG00000160049,ENSG00000160049,Gene Expression,GRCh38,2106,1.0609827,0.7231829,39.13294797687862,3671.0,8.208491,2106,DFFA
ENSG00000142655,ENSG00000142655,Gene Expression,GRCh38,1351,0.5075145,0.41046226,60.95375722543353,1756.0,7.471363,1351,PEX14
ENSG00000130940,ENSG00000130940,Gene Expression,GRCh38,1838,1.015029,0.7006336,46.878612716763,3512.0,8.164226,1838,CASZ1
ENSG00000116649,ENSG00000116649,Gene Expression,GRCh38,1720,0.71705204,0.5406089,50.28901734104046,2481.0,7.81682,1720,SRM
ENSG00000171824,ENSG00000171824,Gene Expression,GRCh38,1594,0.65317917,0.5027002,53.93063583815029,2260.0,7.7235622,1594,EXOSC10
ENSG00000198793,ENSG00000198793,Gene Expression,GRCh38,1360,0.5450867,0.43508002,60.69364161849711,1886.0,7.5427437,1360,MTOR
ENSG00000120942,ENSG00000120942,Gene Expression,GRCh38,929,0.33294797,0.287393,73.15028901734104,1152.0,7.0501227,929,UBIAD1
ENSG00000116661,ENSG00000116661,Gene Expression,GRCh38,887,0.30635837,0.2672434,74.36416184971097,1060.0,6.966967,887,FBXO2
ENSG00000132879,ENSG00000132879,Gene Expression,GRCh38,2117,1.0462428,0.7160053,38.8150289017341,3620.0,8.194506,2117,FBXO44
ENSG00000116663,ENSG00000116663,Gene Expression,GRCh38,335,0.10549133,0.10028988,90.3179190751445,365.0,5.902633,335,FBXO6
ENSG00000116670,ENSG00000116670,Gene Expression,GRCh38,789,0.26878613,0.23806064,77.1965317919075,930.0,6.8362594,789,MAD2L2
ENSG00000177674,ENSG00000177674,Gene Expression,GRCh38,1415,0.66936415,0.5124428,59.104046242774565,2316.0,7.7480288,1415,AGTRAP
ENSG00000177000,ENSG00000177000,Gene Expression,GRCh38,177,0.05317919,0.05181339,94.88439306358381,184.0,5.220356,177,MTHFR
ENSG00000011021,ENSG00000011021,Gene Expression,GRCh38,745,0.25028902,0.22337474,78.46820809248555,866.0,6.765039,745,CLCN6
ENSG00000083444,ENSG00000083444,Gene Expression,GRCh38,1242,0.47861272,0.3911043,64.10404624277457,1656.0,7.412764,1242,PLOD1
ENSG00000116688,ENSG00000116688,Gene Expression,GRCh38,2110,1.0104046,0.698336,39.017341040462426,3496.0,8.15966,2110,MFN2
ENSG00000116691,ENSG00000116691,Gene Expression,GRCh38,995,0.35578033,0.3043772,71.24277456647398,1231.0,7.116394,995,MIIP
ENSG00000028137,ENSG00000028137,Gene Expression,GRCh38,629,0.21040462,0.1909547,81.82080924855491,728.0,6.591674,629,TNFRSF1B
ENSG00000048707,ENSG00000048707,Gene Expression,GRCh38,1650,0.7144509,0.53909284,52.312138728323696,2472.0,7.813187,1650,VPS13D
ENSG00000162496,ENSG00000162496,Gene Expression,GRCh38,2818,2.7644508,1.3256019,18.554913294797693,9565.0,9.165971,2818,DHRS3
ENSG00000162493,ENSG00000162493,Gene Expression,GRCh38,1367,0.52109826,0.4194326,60.49132947976879,1803.0,7.4977617,1367,PDPN
ENSG00000116731,ENSG00000116731,Gene Expression,GRCh38,2660,1.7352601,1.0062265,23.121387283236995,6004.0,8.700348,2660,PRDM2
ENSG00000189337,ENSG00000189337,Gene Expression,GRCh38,822,0.27919075,0.24622765,76.242774566474,966.0,6.8741984,822,KAZN
ENSG00000171729,ENSG00000171729,Gene Expression,GRCh38,686,0.22774567,0.20517969,80.17341040462428,788.0,6.6707664,686,TMEM51
ENSG00000142621,ENSG00000142621,Gene Expression,GRCh38,59,0.017052023,0.01690827,98.29479768786126,59.0,4.0943446,59,FHAD1
ENSG00000142634,ENSG00000142634,Gene Expression,GRCh38,2268,1.3604046,0.8588331,34.45086705202313,4707.0,8.457019,2268,EFHD2
ENSG00000132906,ENSG00000132906,Gene Expression,GRCh38,946,0.3398844,0.29258335,72.65895953757226,1176.0,7.070724,946,CASP9
ENSG00000116138,ENSG00000116138,Gene Expression,GRCh38,841,0.29682082,0.25991574,75.69364161849711,1027.0,6.9353704,841,DNAJC16
ENSG00000197312,ENSG00000197312,Gene Expression,GRCh38,1631,0.7919075,0.5832807,52.86127167630058,2740.0,7.916078,1631,DDI2
ENSG00000116786,ENSG00000116786,Gene Expression,GRCh38,1635,0.6901734,0.5248311,52.74566473988439,2388.0,7.7786303,1635,PLEKHM2
ENSG00000162461,ENSG00000162461,Gene Expression,GRCh38,73,0.021098265,0.020878779,97.89017341040463,73.0,4.304065,73,SLC25A34
ENSG00000162458,ENSG00000162458,Gene Expression,GRCh38,2707,1.766763,1.017678,21.763005780346823,6113.0,8.718336,2707,FBLIM1
ENSG00000233954,ENSG00000233954,Gene Expression,GRCh38,143,0.04132948,0.04049824,95.86705202312139,143.0,4.9698133,143,UQCRHL
ENSG00000065526,ENSG00000065526,Gene Expression,GRCh38,1674,0.72254336,0.5438019,51.61849710982659,2500.0,7.8244457,1674,SPEN
ENSG00000116809,ENSG00000116809,Gene Expression,GRCh38,1183,0.450289,0.37176287,65.8092485549133,1558.0,7.3518,1183,ZBTB17
ENSG00000173641,ENSG00000173641,Gene Expression,GRCh38,1109,0.40924856,0.34305662,67.94797687861272,1416.0,7.256297,1109,HSPB7
ENSG00000186510,ENSG00000186510,Gene Expression,GRCh38,84,0.024566473,0.02426957,97.57225433526011,85.0,4.454347,84,CLCNKA
ENSG00000142627,ENSG00000142627,Gene Expression,GRCh38,691,0.23554914,0.21151552,80.02890173410404,815.0,6.7044144,691,EPHA2
ENSG00000142632,ENSG00000142632,Gene Expression,GRCh38,242,0.07774566,0.07487151,93.00578034682081,269.0,5.598422,242,ARHGEF19
ENSG00000132881,ENSG00000132881,Gene Expression,GRCh38,358,0.10867052,0.103161566,89.65317919075144,376.0,5.9322453,358,CPLANE2
ENSG00000037637,ENSG00000037637,Gene Expression,GRCh38,2123,1.1442196,0.76277566,38.64161849710983,3959.0,8.283999,2123,FBXO42
ENSG00000055070,ENSG00000055070,Gene Expression,GRCh38,2519,1.5632948,0.9412935,27.196531791907518,5409.0,8.5960045,2519,SZRD1
ENSG00000157191,ENSG00000157191,Gene Expression,GRCh38,1489,0.6309249,0.48914725,56.96531791907514,2183.0,7.6889133,1489,NECAP2
ENSG00000219481,ENSG00000219481,Gene Expression,GRCh38,569,0.18352601,0.16849813,83.5549132947977,635.0,6.455199,569,NBPF1
ENSG00000058453,ENSG00000058453,Gene Expression,GRCh38,314,0.09855492,0.0939956,90.92485549132948,341.0,5.8348107,314,CROCC
ENSG00000117122,ENSG00000117122,Gene Expression,GRCh38,892,0.3182081,0.2762733,74.21965317919074,1101.0,7.004882,892,MFAP2
ENSG00000159363,ENSG00000159363,Gene Expression,GRCh38,495,0.1615607,0.14976454,85.69364161849711,559.0,6.3279366,495,ATP13A2
ENSG00000117118,ENSG00000117118,Gene Expression,GRCh38,1842,0.8401734,0.6098598,46.76300578034682,2907.0,7.9752207,1842,SDHB
ENSG00000117115,ENSG00000117115,Gene Expression,GRCh38,139,0.0433526,0.04243918,95.98265895953757,150.0,5.0172796,139,PADI2
ENSG00000179051,ENSG00000179051,Gene Expression,GRCh38,1880,0.92283237,0.6537993,45.66473988439307,3193.0,8.069029,1880,RCC2
ENSG00000074964,ENSG00000074964,Gene Expression,GRCh38,1661,0.67803466,0.51762325,51.99421965317919,2346.0,7.7608933,1661,ARHGEF10L
ENSG00000117154,ENSG00000117154,Gene Expression,GRCh38,445,0.1433526,0.13396482,87.13872832369943,496.0,6.20859,445,IGSF21
ENSG00000159423,ENSG00000159423,Gene Expression,GRCh38,1209,0.54277456,0.43358245,65.05780346820809,1878.0,7.538495,1209,ALDH4A1
ENSG00000169991,ENSG00000169991,Gene Expression,GRCh38,849,0.29884392,0.26147458,75.46242774566474,1034.0,6.942157,849,IFFO2
ENSG00000127481,ENSG00000127481,Gene Expression,GRCh38,2092,1.0193641,0.7027827,39.53757225433526,3527.0,8.168487,2092,UBR4
ENSG00000127463,ENSG00000127463,Gene Expression,GRCh38,1612,0.6846821,0.5215769,53.41040462427746,2369.0,7.770645,1612,EMC1
ENSG00000053372,ENSG00000053372,Gene Expression,GRCh38,1178,0.46098265,0.37910926,65.95375722543353,1595.0,7.3752556,1178,MRTO4
ENSG00000162482,ENSG00000162482,Gene Expression,GRCh38,236,0.07254335,0.07003279,93.17919075144509,251.0,5.529429,236,AKR7A3
ENSG00000040487,ENSG00000040487,Gene Expression,GRCh38,538,0.17254335,0.15917519,84.45086705202311,597.0,6.393591,538,SLC66A1
ENSG00000077549,ENSG00000077549,Gene Expression,GRCh38,3338,5.349711,1.8484093,3.5260115606936426,18510.0,9.82612,3338,CAPZB
ENSG00000173436,ENSG00000173436,Gene Expression,GRCh38,3363,6.5895953,2.0267782,2.8034682080924855,22800.0,10.034559,3363,MICOS10
ENSG00000158747,ENSG00000158747,Gene Expression,GRCh38,3399,7.8066473,2.1755068,1.7630057803468158,27011.0,10.204037,3399,NBL1
ENSG00000162542,ENSG00000162542,Gene Expression,GRCh38,1472,0.6419075,0.49585867,57.45664739884393,2221.0,7.706163,1472,TMCO4
ENSG00000169914,ENSG00000169914,Gene Expression,GRCh38,1356,0.54046243,0.43208265,60.809248554913296,1870.0,7.5342283,1356,OTUD3
ENSG00000188257,ENSG00000188257,Gene Expression,GRCh38,1422,1.0381503,0.7120427,58.90173410404624,3592.0,8.186743,1422,PLA2G2A
ENSG00000127472,ENSG00000127472,Gene Expression,GRCh38,937,0.32947975,0.2847877,72.91907514450867,1140.0,7.0396605,937,PLA2G5
ENSG00000187980,ENSG00000187980,Gene Expression,GRCh38,134,0.04104046,0.040220656,96.12716763005781,142.0,4.962845,134,PLA2G2C
ENSG00000162543,ENSG00000162543,Gene Expression,GRCh38,738,0.24479769,0.21897303,78.67052023121387,847.0,6.742881,738,UBXN10
ENSG00000162545,ENSG00000162545,Gene Expression,GRCh38,2231,1.132659,0.7573695,35.52023121387283,3919.0,8.273847,2231,CAMK2N1
ENSG00000090432,ENSG00000090432,Gene Expression,GRCh38,998,0.35260117,0.30202955,71.15606936416185,1220.0,7.1074257,998,MUL1
ENSG00000158825,ENSG00000158825,Gene Expression,GRCh38,257,0.08150289,0.07835164,92.57225433526011,282.0,5.645447,257,CDA
ENSG00000158828,ENSG00000158828,Gene Expression,GRCh38,1560,0.63699424,0.49286178,54.91329479768786,2204.0,7.698483,1560,PINK1
ENSG00000244038,ENSG00000244038,Gene Expression,GRCh38,2358,1.4361272,0.8904096,31.849710982658962,4969.0,8.511175,2358,DDOST
ENSG00000127483,ENSG00000127483,Gene Expression,GRCh38,3216,3.5771675,1.5210804,7.052023121387285,12377.0,9.423676,3216,HP1BP3
ENSG00000075151,ENSG00000075151,Gene Expression,GRCh38,1963,0.9219653,0.65334827,43.26589595375723,3190.0,8.0680895,1963,EIF4G3
ENSG00000117298,ENSG00000117298,Gene Expression,GRCh38,2715,2.065896,1.1203399,21.531791907514453,7148.0,8.874728,2715,ECE1
ENSG00000162551,ENSG00000162551,Gene Expression,GRCh38,225,0.07485549,0.072186224,93.4971098265896,259.0,5.560682,225,ALPL
ENSG00000076864,ENSG00000076864,Gene Expression,GRCh38,678,0.24884392,0.22221826,80.40462427745665,861.0,6.7592554,678,RAP1GAP
ENSG00000090686,ENSG00000090686,Gene Expression,GRCh38,1293,0.5083815,0.4110372,62.63005780346821,1759.0,7.473069,1293,USP48
ENSG00000187942,ENSG00000187942,Gene Expression,GRCh38,65,0.019075144,0.018895494,98.121387283237,66.0,4.204693,65,LDLRAD2
ENSG00000142798,ENSG00000142798,Gene Expression,GRCh38,3349,4.234104,1.6551957,3.20809248554913,14650.0,9.592264,3349,HSPG2
ENSG00000162552,ENSG00000162552,Gene Expression,GRCh38,890,0.31127167,0.2709974,74.27745664739885,1077.0,6.982863,890,WNT4
ENSG00000184677,ENSG00000184677,Gene Expression,GRCh38,1150,0.42109826,0.35143,66.76300578034682,1457.0,7.284821,1150,ZBTB40
ENSG00000173372,ENSG00000173372,Gene Expression,GRCh38,1363,0.5462428,0.43582797,60.60693641618498,1890.0,7.544861,1363,C1QA
ENSG00000159189,ENSG00000159189,Gene Expression,GRCh38,1847,0.93092483,0.6579991,46.618497109826585,3221.0,8.077758,1847,C1QC
ENSG00000173369,ENSG00000173369,Gene Expression,GRCh38,2393,1.5023122,0.91721517,30.838150289017342,5198.0,8.556222,2393,C1QB
ENSG00000133216,ENSG00000133216,Gene Expression,GRCh38,350,0.10982659,0.104203776,89.88439306358381,380.0,5.9427996,350,EPHB2
ENSG00000004487,ENSG00000004487,Gene Expression,GRCh38,2556,1.6693642,0.9818403,26.1271676300578,5776.0,8.66164,2556,KDM1A
ENSG00000169641,ENSG00000169641,Gene Expression,GRCh38,1526,0.616474,0.4802472,55.895953757225435,2133.0,7.6657534,1526,LUZP1
ENSG00000125944,ENSG00000125944,Gene Expression,GRCh38,3155,3.3439307,1.4687797,8.8150289017341,11570.0,9.356257,3155,HNRNPR
ENSG00000125945,ENSG00000125945,Gene Expression,GRCh38,1406,0.5627168,0.44642583,59.36416184971098,1947.0,7.5745583,1406,ZNF436
ENSG00000204219,ENSG00000204219,Gene Expression,GRCh38,2685,2.298555,1.1934844,22.398843930635838,7953.0,8.98143,2685,TCEA3
ENSG00000088280,ENSG00000088280,Gene Expression,GRCh38,1585,0.7054913,0.53385323,54.190751445086704,2441.0,7.800573,1585,ASAP3
